datetime,open,high,low,close,volume
1474205400,0.00216589,0.00216758,0.00215221,0.00216756,15.37223971
1474207200,0.002161,0.00216797,0.002155,0.00216,29.07488641
1474209000,0.00216508,0.0021693,0.0021573,0.0021693,15.28224691
1474210800,0.002167,0.00217878,0.00215494,0.00217797,34.74700318
1474212600,0.00217001,0.0021829,0.00217,0.00218001,29.82171873
1474214400,0.00218001,0.00218288,0.0021699,0.00216991,10.917936
1474216200,0.00217172,0.00218581,0.00216758,0.00217201,22.88517387
1474218000,0.0021721,0.00219881,0.0021721,0.0021838,25.91833256
1474219800,0.00218377,0.00219163,0.00218121,0.00218326,3.53588005
1474221600,0.00218979,0.00218979,0.00217456,0.00217456,10.41177353
1474223400,0.00217993,0.00217993,0.00217,0.00217453,7.42680221
1474225200,0.00217453,0.00218485,0.00215724,0.00217749,98.58490512
1474227000,0.00217749,0.002205,0.00217,0.0022,199.5204283
1474228800,0.00219724,0.00219724,0.00216988,0.00216994,42.11825363
1474230600,0.00217196,0.00219662,0.00217005,0.00219236,52.6479664
1474232400,0.00218807,0.00220016,0.00217981,0.00219002,76.98890915
1474234200,0.00218864,0.00219269,0.00217288,0.00217668,23.55953766
1474236000,0.00217387,0.00218307,0.00216888,0.00218307,27.74078518
1474237800,0.002179,0.00218147,0.00216721,0.00216721,14.33368034
1474239600,0.00216816,0.00217209,0.002161,0.00217209,16.19533646
1474241400,0.00217044,0.00217122,0.00216035,0.00216098,18.50301544
1474243200,0.00216098,0.00216618,0.00216098,0.00216618,6.18849777
1474245000,0.00216115,0.0021742,0.00216112,0.00217385,10.0718108
1474246800,0.00217241,0.00217368,0.00216364,0.00216364,14.64350509
1474248600,0.00216364,0.00217088,0.00216,0.00216332,17.30534063
1474250400,0.00216334,0.00216334,0.00215466,0.00215467,33.41321112
1474252200,0.00215841,0.0021606,0.00215013,0.00215337,50.73816705
1474254000,0.00215365,0.00216675,0.00215001,0.00215915,17.15211157
1474255800,0.00215506,0.00216675,0.00215,0.00216645,25.36591078
1474257600,0.00215985,0.00216009,0.00215399,0.00215399,5.21860676
1474259400,0.002154,0.0021669,0.00215044,0.00215451,12.34473331
1474261200,0.00215404,0.00216413,0.00215404,0.00215462,12.82215491
1474263000,0.00215469,0.0021641,0.00215469,0.00215703,4.9144671
1474264800,0.00215703,0.00217,0.00215703,0.00216018,9.42637471
1474266600,0.00215712,0.00216409,0.00215705,0.00215723,5.98043983
1474268400,0.00215737,0.00216401,0.00215702,0.00215961,13.80855927
1474270200,0.00215711,0.00216381,0.00215711,0.00215727,2.5303099
1474272000,0.00216374,0.00216374,0.00215405,0.00215413,12.37079361
1474273800,0.00215413,0.00216699,0.00215,0.00215927,36.85658288
1474275600,0.00215452,0.00215927,0.00215156,0.00215422,4.19950919
1474277400,0.00215308,0.00215639,0.00215284,0.00215347,4.89258219
1474279200,0.00215347,0.002167,0.00215347,0.00215511,12.13599213
1474281000,0.00215517,0.00216094,0.00215454,0.0021547,5.17173108
1474282800,0.00215419,0.00216333,0.002154,0.00215467,1.37268305
1474284600,0.00215409,0.00216699,0.00215409,0.00215503,7.58834107
1474286400,0.00215503,0.00216359,0.002155,0.002155,5.58406379
1474288200,0.002155,0.00216,0.002155,0.00215511,4.26517554
1474290000,0.00215511,0.00215999,0.00214447,0.00214663,47.25570077
1474291800,0.00214447,0.00214663,0.002143,0.002143,11.59805808
1474293600,0.002143,0.00214524,0.0021342,0.00213912,16.84152742
1474295400,0.00213421,0.00214196,0.00213421,0.00214188,7.76569357
1474297200,0.00214188,0.00214606,0.002134,0.002134,36.27734322
1474299000,0.002134,0.002134,0.002106,0.00213291,42.99904067
1474300800,0.00213291,0.00214871,0.00212926,0.00214204,19.43062197
1474302600,0.00214203,0.00214203,0.00213247,0.00213253,4.17062439
1474304400,0.00213253,0.00213579,0.0021198,0.0021198,15.17868222
1474306200,0.00212139,0.00212899,0.00212,0.00212498,7.6143036
1474308000,0.00212498,0.00212897,0.0021201,0.00212365,10.29572566
1474309800,0.00212366,0.002124,0.00211543,0.00212387,19.43121966
1474311600,0.00212387,0.00212387,0.00210981,0.00212068,33.78850067
1474313400,0.00211665,0.0021214,0.00210925,0.00211412,5.69193564
1474315200,0.00211411,0.00212051,0.00211411,0.00211946,6.33545107
1474317000,0.00211411,0.00211999,0.00209627,0.00209993,252.32688291
1474318800,0.00209988,0.00209988,0.00209028,0.00209896,8.68655008
1474320600,0.00209891,0.00210098,0.00209,0.00209922,34.26992984
1474322400,0.00209921,0.00209999,0.002091,0.00209894,18.60944801
1474324200,0.00209685,0.00209899,0.00209384,0.00209895,18.39859102
1474326000,0.00209421,0.00209999,0.00209421,0.00209501,3.41115788
1474327800,0.00209695,0.00209962,0.00208987,0.00209314,63.67634804
1474329600,0.00209089,0.00209822,0.00208701,0.00209421,23.313123
1474331400,0.00209424,0.0021031,0.00209342,0.0020981,20.5486359
1474333200,0.00209867,0.00209909,0.002084,0.00209167,31.68109928
1474335000,0.00209167,0.00209167,0.002075,0.002075,51.222359
1474336800,0.002075,0.00207894,0.00206512,0.00206688,101.2149256
1474338600,0.00206688,0.00206854,0.00205004,0.002063,60.57421679
1474340400,0.002063,0.00209925,0.002062,0.0020974,29.8868655
1474342200,0.00209396,0.00209934,0.00208716,0.00209934,13.85746673
1474344000,0.00209405,0.00209505,0.00208356,0.002088,19.5356357
1474345800,0.00208479,0.002088,0.00206255,0.0020732,77.62147413
1474347600,0.00207726,0.00208062,0.00206964,0.00207088,18.44516718
1474349400,0.00207392,0.00208107,0.00207392,0.00207896,4.64482113
1474351200,0.0020789,0.0020789,0.00207088,0.002076,12.62459312
1474353000,0.002076,0.00207887,0.00207087,0.002076,16.20164946
1474354800,0.00207088,0.00207799,0.00207087,0.00207795,9.46270147
1474356600,0.00207301,0.00208119,0.00207087,0.0020781,18.68087808
1474358400,0.00207811,0.00208086,0.00205412,0.00205412,85.3732921
1474360200,0.00205413,0.00206015,0.00205411,0.00205938,38.92554009
1474362000,0.00205777,0.00206329,0.00205412,0.00206091,62.77685334
1474363800,0.00205774,0.00207495,0.0020384,0.00207492,121.76748869
1474365600,0.00207346,0.00207495,0.00205351,0.00205778,16.4024397
1474367400,0.00205602,0.00205732,0.00204251,0.00204389,29.83137438
1474369200,0.00204342,0.00205569,0.002042,0.00204516,21.70265974
1474371000,0.00204508,0.00205344,0.00204412,0.00204584,16.85966562
1474372800,0.00205037,0.00205936,0.00204509,0.00204538,48.66926219
1474374600,0.00204999,0.00205331,0.00204514,0.002053,9.58445579
1474376400,0.00205278,0.00205317,0.0020471,0.00205257,14.99117602
1474378200,0.00205257,0.00207198,0.00205,0.00207197,54.18589806
1474380000,0.00206881,0.00209099,0.00206554,0.00207984,113.69662074
1474381800,0.00207984,0.002087,0.00207306,0.00208693,55.44327059
1474383600,0.00208693,0.00209259,0.00207587,0.00209254,29.566244
1474385400,0.00209254,0.00209258,0.00207704,0.00208687,44.82693761
1474387200,0.00208687,0.00208688,0.00205629,0.00205631,21.36273218
1474389000,0.0020575,0.002063,0.0020568,0.00206299,9.2014659
1474390800,0.00205823,0.002063,0.00205679,0.00205679,17.33526918
1474392600,0.00205679,0.00206197,0.00205416,0.0020559,12.92501494
1474394400,0.00205886,0.00206092,0.00204514,0.00205757,26.98130544
1474396200,0.00205115,0.00206275,0.00205115,0.0020539,9.37772035
1474398000,0.0020539,0.00205497,0.00204967,0.0020512,21.27831934
1474399800,0.00205131,0.00205919,0.00205131,0.00205314,11.99422792
1474401600,0.00205435,0.00206268,0.00205434,0.00206025,15.98613152
1474403400,0.00205903,0.00205903,0.00205434,0.00205435,10.07961449
1474405200,0.00205523,0.00207268,0.00205457,0.00206017,63.67811381
1474407000,0.00206017,0.0020739,0.00206017,0.002069,19.56365257
1474408800,0.0020689,0.00206891,0.0020421,0.00205017,72.56218481
1474410600,0.00205014,0.00205436,0.00204515,0.00205239,20.30222058
1474412400,0.00205132,0.00205636,0.00204727,0.002055,9.43043444
1474414200,0.002055,0.00205951,0.00204602,0.00205931,24.87617102
1474416000,0.0020593,0.00206557,0.00204216,0.00204231,60.24205251
1474417800,0.00204231,0.00206613,0.0020422,0.00206613,71.47824895
1474419600,0.0020614,0.00208996,0.00205683,0.002082,104.73750043
1474421400,0.00208077,0.00208972,0.00207089,0.00207089,10.48502352
1474423200,0.00207024,0.00207911,0.00207019,0.00207563,15.87969102
1474425000,0.00207292,0.00207999,0.00207002,0.00207845,10.88798163
1474426800,0.00207845,0.002081,0.00207036,0.002081,14.15691944
1474428600,0.00207595,0.00208411,0.00207062,0.00208369,6.24695209
1474430400,0.00207361,0.002103,0.00207361,0.00209899,76.58713519
1474432200,0.00209647,0.0021039,0.00208893,0.00210196,18.35472792
1474434000,0.00209686,0.00210166,0.00208818,0.00208917,10.95256103
1474435800,0.00209393,0.00209881,0.002075,0.002075,10.36081173
1474437600,0.00207504,0.00207914,0.002075,0.00207511,6.43898551
1474439400,0.00207511,0.00207999,0.00207509,0.00207755,4.13599472
1474441200,0.00207509,0.00207961,0.00207423,0.00207423,3.2439822
1474443000,0.00207423,0.00207776,0.00206039,0.00206046,18.217556
1474444800,0.00206047,0.00208415,0.00205621,0.00207802,34.5838168
1474446600,0.00207801,0.00208699,0.00207301,0.00207729,29.82823786
1474448400,0.00207261,0.00207969,0.00206325,0.002071,30.47268651
1474450200,0.00207285,0.00207474,0.00206,0.00206002,21.82281876
1474452000,0.00206001,0.00206868,0.00206,0.0020601,11.71357247
1474453800,0.00206008,0.00206184,0.00205058,0.00205058,25.84453168
1474455600,0.00205058,0.00206568,0.00205058,0.00205141,36.01914837
1474457400,0.00205463,0.00209999,0.00205463,0.00209878,98.15502633
1474459200,0.00209329,0.00209914,0.00208003,0.002089,40.18644675
1474461000,0.002089,0.00209602,0.0020711,0.0020711,42.70438157
1474462800,0.0020711,0.00211,0.00206199,0.002091,159.61311043
1474464600,0.0020902,0.0020918,0.00207501,0.00208037,18.99463485
1474466400,0.00207884,0.00211,0.002075,0.00209901,40.65677286
1474468200,0.00209852,0.00210943,0.00209236,0.00209501,28.68562448
1474470000,0.00209501,0.00209725,0.00208342,0.00208342,5.49904982
1474471800,0.00208331,0.00208701,0.00207503,0.00207864,18.65297421
1474473600,0.00207792,0.00208276,0.002075,0.00208,9.78600492
1474475400,0.00208065,0.00209437,0.00208,0.00208684,7.65096251
1474477200,0.00208305,0.00211583,0.00208167,0.00210396,31.26941217
1474479000,0.00210232,0.00211868,0.002101,0.00211436,18.1860871
1474480800,0.00211442,0.00211442,0.00210173,0.00210176,13.56513733
1474482600,0.00210172,0.00210881,0.002101,0.002101,30.73333454
1474484400,0.002101,0.00211279,0.0021,0.00210881,20.33352358
1474486200,0.00211001,0.0021246,0.00210882,0.00211888,25.52063891
1474488000,0.00211684,0.00211995,0.00207092,0.00207431,150.94825197
1474489800,0.00207427,0.0020855,0.00205816,0.00206676,54.57282437
1474491600,0.00206942,0.00207442,0.00205904,0.00206175,20.64369235
