datetime,open,high,low,close,volume
1474205400,0.00631,0.00631001,0.006271,0.00629863,2.39095965
1474207200,0.00629999,0.0063,0.00627882,0.00629976,0.22296031
1474209000,0.00629998,0.00631715,0.00628002,0.0063,5.99589604
1474210800,0.00628641,0.0063022,0.00627882,0.00627896,1.93952988
1474212600,0.0063022,0.00630985,0.00628002,0.0063,0.51385498
1474214400,0.0063,0.00630958,0.00628002,0.00630151,0.2092483
1474216200,0.00630175,0.00630984,0.00627003,0.00628002,12.64670581
1474218000,0.00628002,0.00629321,0.00627991,0.00628404,0.46267627
1474219800,0.00629319,0.0062966,0.00628404,0.00628407,15.27310918
1474221600,0.00629032,0.0063,0.00628404,0.00628404,0.57591564
1474223400,0.00628701,0.00629999,0.00628003,0.00628004,0.54890418
1474225200,0.00628003,0.00629828,0.00627002,0.00629827,0.65432374
1474227000,0.00629152,0.00629827,0.00627002,0.00628672,1.27223798
1474228800,0.00627014,0.00629377,0.00627002,0.006291,0.21830278
1474230600,0.0062908,0.00629829,0.00627002,0.00627006,0.32201679
1474232400,0.00628999,0.00628999,0.00627006,0.00627007,0.03347666
1474234200,0.00628998,0.00628999,0.00627006,0.00627277,0.2646484
1474236000,0.00627277,0.00628994,0.00627006,0.00628993,0.41011762
1474237800,0.00628992,0.00628993,0.00627002,0.00627003,0.35808392
1474239600,0.00628991,0.00628991,0.00627002,0.00627004,0.36289808
1474241400,0.00627004,0.00628992,0.00627003,0.00628991,0.78894046
1474243200,0.00628991,0.00628994,0.00627003,0.00627004,2.53189312
1474245000,0.0062875,0.0062875,0.00627003,0.00627003,0.06458179
1474246800,0.00628283,0.00628994,0.00627002,0.00627046,3.38725619
1474248600,0.00627046,0.00628994,0.00627046,0.00628992,1.19452969
1474250400,0.00628994,0.00628994,0.00627382,0.00628992,0.44490014
1474252200,0.00628992,0.00628994,0.0062788,0.0062788,2.52614609
1474254000,0.0062788,0.00628994,0.0062739,0.0062739,1.10530979
1474255800,0.0062739,0.00628994,0.00627385,0.00627386,0.56633863
1474257600,0.00628989,0.00628989,0.00627386,0.00627386,0.07299191
1474259400,0.00627386,0.00628499,0.00627386,0.0062739,0.29368499
1474261200,0.00628149,0.00628149,0.00627382,0.0062769,2.28744092
1474263000,0.00627686,0.00628994,0.00627382,0.00627409,0.33349659
1474264800,0.0062741,0.00630199,0.0062741,0.00630137,0.67493343
1474266600,0.0063014,0.006302,0.006275,0.0063,1.06122239
1474268400,0.00629776,0.006302,0.00628157,0.00630197,0.62652085
1474270200,0.00630197,0.00630198,0.00628199,0.00630198,1.99406692
1474272000,0.00630197,0.00630198,0.006281,0.006281,7.09944662
1474273800,0.00628101,0.00629908,0.00627382,0.00627729,10.6422566
1474275600,0.00627741,0.0063,0.00627712,0.0063,0.20978327
1474277400,0.0063,0.0063,0.00627722,0.00627829,0.02329474
1474279200,0.00628522,0.00629906,0.00627398,0.0062852,11.82229341
1474281000,0.00627971,0.0062965,0.00627425,0.00629599,0.85590044
1474282800,0.00627557,0.00629599,0.00627556,0.00629399,0.02392093
1474284600,0.00629399,0.006295,0.00627557,0.006295,0.38217526
1474286400,0.006295,0.00629907,0.00627386,0.00627455,1.17360934
1474288200,0.00627469,0.00629905,0.00627469,0.00627545,1.86008172
1474290000,0.00627546,0.00631884,0.00627044,0.00630002,18.60706385
1474291800,0.0062755,0.00629963,0.00627053,0.00629879,1.28380819
1474293600,0.00629877,0.00629963,0.00627509,0.00627869,2.62712668
1474295400,0.00627869,0.00631554,0.00627102,0.00631553,18.84201145
1474297200,0.00631378,0.00631379,0.00627509,0.0063137,3.18893371
1474299000,0.00628848,0.00630923,0.00627695,0.0063089,0.99585445
1474300800,0.0063089,0.0063089,0.00628074,0.0063089,1.93744087
1474302600,0.0063089,0.0063089,0.00629919,0.00630888,3.49628036
